id,name,ranking,delivery_des,price,description,similar_product_ids,small_number,medium_number,large_number,review_ids,image_src,images,discount
9,Legend Special Edition 10,5,From $4 for 3-4 days,400,"There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable.","[""57"",""53""]",200,200,400,"[""19"",""24"",""20"",""38"",""28"",""10"",""5"",""26"",""21"",""34"",""23"",""37"",""27"",""40"",""56""]",https://trungnguyenecoffee.com/wp-content/uploads/2021/07/ST1-340g-1536x1357.jpg,"[""https://trungnguyenecoffee.com/wp-content/uploads/2021/07/ST1-340g-1536x1357.jpg"",""https://trungnguyenecoffee.com/wp-content/uploads/2020/08/pasiona-1.png"",""https://trungnguyenecoffee.com/wp-content/uploads/2021/07/ST8-250g.jpg"",""https://trungnguyenecoffee.com/wp-content/uploads/2021/07/CP-3-1536x1357.jpg""]",10
53,Celestial Coconut Caramel Crunch,4,From $10 for 2-5 days,300,"Celestial Coconut Caramel Crunch: Reach for the stars with this heavenly blend, where creamy coconut meets velvety caramel in a celestial union.","[""17"",""40""]",490,954,640,"[""3"",""6"",""1"",""8"",""41"",""22"",""19"",""24"",""20"",""38"",""28"",""10"",""5"",""26"",""21"",""34"",""23"",""37"",""27"",""40"",""56"",""45"",""30"",""9"",""60"",""65"",""52"",""32"",""36"",""61""]",https://trungnguyenecoffee.com/wp-content/uploads/2021/07/G7-2in1-Hop-15-goi-1-1320x800.jpg,"[""https://trungnguyenecoffee.com/wp-content/uploads/2021/07/ST1-340g-1536x1357.jpg"",""https://trungnguyenecoffee.com/wp-content/uploads/2020/08/pasiona-1.png"",""https://trungnguyenecoffee.com/wp-content/uploads/2021/07/ST8-250g.jpg"",""https://trungnguyenecoffee.com/wp-content/uploads/2021/07/CP-3-1536x1357.jpg""]",10
18,Celestial Coconut Cream,4,From $5 for 2-4 days,400,"Transport yourself to a tropical paradise with this coconut-infused delight, offering a creamy and exotic coffee experience.","[""19"",""44""]",371,655,213,"[""1"",""8"",""41"",""22"",""19"",""24"",""20"",""38"",""28"",""10"",""5"",""26"",""21"",""34"",""23"",""37"",""27"",""40"",""56"",""45"",""30"",""9"",""60"",""65"",""52"",""32"",""36"",""61"",""69"",""44"",""64"",""18"",""25"",""68"",""55"",""15"",""33"",""35"",""58""]",https://trungnguyenecoffee.com/wp-content/uploads/2020/08/pasiona-1.png,"[""https://trungnguyenecoffee.com/wp-content/uploads/2021/07/ST1-340g-1536x1357.jpg"",""https://trungnguyenecoffee.com/wp-content/uploads/2020/08/pasiona-1.png"",""https://trungnguyenecoffee.com/wp-content/uploads/2021/07/ST8-250g.jpg"",""https://trungnguyenecoffee.com/wp-content/uploads/2021/07/CP-3-1536x1357.jpg""]",5
12,Aura Latte Caramel,3,From $5 for 1-2 days,250,"A heavenly latte experience featuring a perfect balance of velvety milk, rich espresso, and luscious caramel.","[""34"",""28""]",638,513,962,"[""1"",""8"",""41"",""22"",""19"",""24"",""20"",""38"",""28"",""10"",""5"",""26"",""21"",""34"",""23"",""37"",""27"",""40"",""56"",""45""]",https://trungnguyenecoffee.com/wp-content/uploads/2021/07/CP-2-1536x1357.jpg,"[""https://trungnguyenecoffee.com/wp-content/uploads/2021/07/ST1-340g-1536x1357.jpg"",""https://trungnguyenecoffee.com/wp-content/uploads/2020/08/pasiona-1.png"",""https://trungnguyenecoffee.com/wp-content/uploads/2021/07/ST8-250g.jpg"",""https://trungnguyenecoffee.com/wp-content/uploads/2021/07/CP-3-1536x1357.jpg""]",10
34,Enigma Eggnog Latte,3,From $11 for 2-4 days,450,"Enigma Eggnog Latte: Unravel the mysteries of the holidays with this eggnog-infused delight, offering a festive and creamy coffee experience.","[""10"",""19""]",283,306,274,"[""19"",""24"",""20"",""38"",""28"",""10"",""5"",""26"",""21"",""34"",""23"",""37"",""27"",""40"",""56"",""45"",""30"",""9"",""60"",""65"",""52"",""32"",""36"",""61"",""69"",""44""]",https://trungnguyenecoffee.com/wp-content/uploads/2021/07/CP-3-1536x1357.jpg,"[""https://trungnguyenecoffee.com/wp-content/uploads/2021/07/ST1-340g-1536x1357.jpg"",""https://trungnguyenecoffee.com/wp-content/uploads/2020/08/pasiona-1.png"",""https://trungnguyenecoffee.com/wp-content/uploads/2021/07/ST8-250g.jpg"",""https://trungnguyenecoffee.com/wp-content/uploads/2021/07/CP-3-1536x1357.jpg""]",10
28,Mirage Mocha Cinnamon,2,From $10 for 1-2 days,350,"Indulge in the warm embrace of cinnamon with this mocha blend, offering a perfect balance of spice and chocolatey goodness.","[""44"",""13""]",324,906,202,"[""13"",""11"",""62"",""14"",""16"",""3"",""6"",""1"",""8"",""41"",""22"",""19"",""24"",""20"",""38"",""28"",""10"",""5"",""26"",""21"",""34"",""23"",""37"",""27"",""40"",""56"",""45"",""30"",""9"",""60"",""65"",""52"",""32""]",https://trungnguyenecoffee.com/wp-content/uploads/2021/07/HinhRetail-20.jpg,"[""https://trungnguyenecoffee.com/wp-content/uploads/2021/07/ST1-340g-1536x1357.jpg"",""https://trungnguyenecoffee.com/wp-content/uploads/2020/08/pasiona-1.png"",""https://trungnguyenecoffee.com/wp-content/uploads/2021/07/ST8-250g.jpg"",""https://trungnguyenecoffee.com/wp-content/uploads/2021/07/CP-3-1536x1357.jpg""]",20
27,Moonlit Maple Latte,2,From $9 for 3-6 days,450,"Savor the flavors of autumn with this maple-infused latte, offering a comforting warmth reminiscent of a cozy fall day.","[""17"",""40"",""10""]",443,948,650,"[""39"",""59"",""13"",""11"",""62"",""14"",""16"",""3"",""6"",""1"",""8"",""41"",""22"",""19"",""24"",""20"",""38"",""28"",""10"",""5"",""26"",""21"",""34"",""23"",""37"",""27"",""40"",""56"",""45"",""30"",""9"",""60"",""65""]",https://trungnguyenecoffee.com/wp-content/uploads/2021/08/Tem-hat-1-culi-robusta-3kg-1-1536x1526.jpg,"[""https://trungnguyenecoffee.com/wp-content/uploads/2021/07/ST1-340g-1536x1357.jpg"",""https://trungnguyenecoffee.com/wp-content/uploads/2020/08/pasiona-1.png"",""https://trungnguyenecoffee.com/wp-content/uploads/2021/07/ST8-250g.jpg"",""https://trungnguyenecoffee.com/wp-content/uploads/2021/07/CP-3-1536x1357.jpg""]",20
17,Essence Latte Hazelnut,4,From $4 for 1-3 days,450,"Experience the essence of indulgence with this hazelnut-infused latte, offering a nutty richness that lingers on the palate.","[""54"",""24"",""27""]",276,447,602,"[""22"",""19"",""24"",""20"",""38"",""28"",""10"",""5"",""26"",""21"",""34"",""23"",""37"",""27"",""40"",""56"",""45"",""30"",""9"",""60"",""65"",""52"",""32"",""36"",""61"",""69"",""44"",""64"",""18"",""25"",""68"",""55"",""15"",""33"",""35""]",https://trungnguyenecoffee.com/wp-content/uploads/2021/07/G7-2in1-Hop-15-goi-1-1320x800.jpg,"[""https://trungnguyenecoffee.com/wp-content/uploads/2021/07/ST1-340g-1536x1357.jpg"",""https://trungnguyenecoffee.com/wp-content/uploads/2020/08/pasiona-1.png"",""https://trungnguyenecoffee.com/wp-content/uploads/2021/07/ST8-250g.jpg"",""https://trungnguyenecoffee.com/wp-content/uploads/2021/07/CP-3-1536x1357.jpg""]",20
10,Mystic Mocha Almond,3,From $3 for 1-3 days,450,"A tantalizing blend of rich mocha and nutty almond, evoking a sense of mystery and indulgence.","[""19"",""44"",""13"",""27"",""17"",""23"",""33"",""14"",""54""]",653,990,370,"[""17"",""42"",""39"",""59"",""13"",""11"",""62"",""14"",""16"",""3"",""6"",""1"",""8"",""41"",""22"",""19"",""24"",""20"",""38"",""28"",""10"",""5"",""26"",""21"",""34"",""23"",""37"",""27"",""40"",""56"",""45"",""30"",""9"",""60"",""65"",""52"",""32"",""36"",""61"",""69"",""44"",""64"",""18"",""25"",""68"",""55"",""15""]",https://trungnguyenecoffee.com/wp-content/uploads/2020/09/HOP-PHIN-VNESE-BLENDPNG-1-e1599214126715.png,"[""https://trungnguyenecoffee.com/wp-content/uploads/2021/07/ST1-340g-1536x1357.jpg"",""https://trungnguyenecoffee.com/wp-content/uploads/2020/08/pasiona-1.png"",""https://trungnguyenecoffee.com/wp-content/uploads/2021/07/ST8-250g.jpg"",""https://trungnguyenecoffee.com/wp-content/uploads/2021/07/CP-3-1536x1357.jpg""]",15
44,Aura Almond Joy,5,From $11 for 1-3 days,450,"Aura Almond Joy: Indulge in the blissful flavors of coconut, chocolate, and almonds with this heavenly delight, offering a taste of paradise in every sip.","[""19"",""44"",""13"",""27"",""17"",""23"",""33"",""14"",""54""]",282,521,867,"[""14"",""16"",""3"",""6"",""1"",""8"",""41"",""22"",""19"",""24"",""20"",""38"",""28"",""10"",""5"",""26"",""21"",""34"",""23"",""37"",""27"",""40"",""56"",""45"",""30"",""9"",""60"",""65"",""52"",""32"",""36"",""61"",""69"",""44"",""64"",""18"",""25"",""68"",""55""]",https://trungnguyenecoffee.com/wp-content/uploads/2021/07/G7-2in1-Hop-15-goi-1-1320x800.jpg,"[""https://trungnguyenecoffee.com/wp-content/uploads/2021/07/ST1-340g-1536x1357.jpg"",""https://trungnguyenecoffee.com/wp-content/uploads/2020/08/pasiona-1.png"",""https://trungnguyenecoffee.com/wp-content/uploads/2021/07/ST8-250g.jpg"",""https://trungnguyenecoffee.com/wp-content/uploads/2021/07/CP-3-1536x1357.jpg""]",10
